Session_ID,time_afternoon,time_evening,time_morning,time_night,time_wee_hours
01o7p78e2bnu1814jn5k4uqke4,1,0,0,0,0
03jt2p4bdru20sjb9me2gco6j4,0,0,1,0,0
0654rvnjhnr0pvsi3qa3e16avo,1,0,0,0,0
06ivkemfgn93qhl5j0vu96rnl4,0,0,1,0,0
071tbv7fsev5d64kb0f9jieor6,0,1,0,0,0
094i85crhkpkhqpi3rl4athrn4,0,0,0,1,0
0d5d2435pbn4mi4gj9spju5gia,0,0,1,0,0
0d9geeoeb756546qnikv1ro4m5,0,0,1,0,0
0erfuds6s7kpisp8j1pphnombt,0,0,1,0,0
0gcm09cd38usjvnjipmqleh0dj,1,0,0,0,0
0ht0u328t4mkgi01sp7mm07e01,1,0,0,0,0
0i5kvpslrq3vb6u8ff2kuejv0v,0,1,0,0,0
0ikgnsdpp5jt1qd7fro2va4oka,0,0,1,0,0
0jfeqj4kpolvb97o2s5ks7l0j4,1,0,0,0,0
0o21mf1bnalsnajqi851nce7po,0,0,0,1,0
0oa2dua3mli7mrr32c0gd4o0i2,1,0,0,0,0
0ogg5l1i4nh37ek8mjpn8q9fc0,1,0,0,0,0
0oi4fvkqd1acu5g08vep8eefqg,0,0,1,0,0
0p0kaqfmftrtfg0u12rkshrdi9,0,0,0,1,0
0pcr6mashfodserb90cq3p04uf,1,0,0,0,0
0pe4qdimjjcomlurpgml7o098t,0,0,0,0,1
0qtjb0182k597rhbb8lkk1t2h0,1,0,0,0,0
0sejj3er3n0v1sfjv2jbnhaav4,1,0,0,0,0
0ucre4qu5jiho5kbjq61hr495f,0,1,0,0,0
0uhr32hgcllradm0p6b15371gi,0,0,1,0,0
0vkricl80bt5v7n2s6bbhvlvk3,0,1,0,0,0
108idm26bcno4qf8gqdml2sge3,0,0,1,0,0
124nsuu4makfggp1h3ametehri,0,0,1,0,0
16egv6d1m87udqmd5na62btekf,0,0,0,1,0
16r8lv9fabgjk06di8usnmu9ni,1,0,0,0,0
18ldmki7l8n9ts6jn32uh9ulli,1,0,0,0,0
1afcff96kgdbmevi5aemi5mkuj,0,1,0,0,0
1aqgqrcuurlmvvbbpirvsh7e53,0,0,1,0,0
1b5jo142dddav6pjjok6jecpj4,1,0,0,0,0
1c1h9oumn2pa0pb04v8f6fn515,1,0,0,0,0
1c414c34a3mtpaafer5lt5vvj2,0,1,0,0,0
1fsvu7m4pbt9htk9432cnv28mr,1,0,0,0,0
1g3j2jmtjse3k9p4r62706vsm0,0,0,0,0,1
1g4h4vh4d2uv360aoo55b086hd,0,1,0,0,0
1gg7urt9m7ngrt4rqu1q43t5fc,1,0,0,0,0
1gkkisdcfhov1vv3n5ae0eotg9,0,0,0,1,0
1gpqg899dn1eafk0j474koislc,1,0,0,0,0
1hv0rajig2vijia10tvjvhq12e,1,0,1,0,0
1io851t86ui0flvporc43coa44,0,0,1,0,0
1j8bfg4kkf15a9oj1igr147ol2,0,0,1,0,0
1jtqu9bvu7bii5p6kcsbgqbqa3,0,1,0,0,0
1m7s5287lpll34gm0amdciqvb5,0,0,1,0,0
1mvlnshabcf3gbr9subps50a00,0,1,0,0,0
1nbs17btpqhl48dfu2nklqhffq,1,0,0,0,0
1np35kml8m5i7a1at5jeo1kbj5,0,0,0,1,0
1nufffs0sri7c3ere47b9i5srv,0,0,1,0,0
1o1q64siv4eesglagbq44pjjle,1,0,0,0,0
1o8bhjhm5k72l4gp4t22njhofd,1,0,0,0,0
1onh1ot5pr6j6g739m8cp5dfj0,0,0,1,0,0
1r170g6lqfoff21od5nn9f976a,0,0,0,1,0
1sijirkrahu3j2dp0qmb78691l,0,1,0,0,0
1ttvuqau08dh4t1cjg50pr2298,1,0,0,0,0
1u41k0lehrsbt97q0pe4knpa6c,1,0,0,0,0
1u58qbe9ofc98u2ghpmrssvf7p,0,1,0,0,0
1um3qqrnsvve0s19nean547qq4,0,0,0,0,1
20054o9vd2q32sqnc3g6kj17om,1,0,0,0,0
20jivuatdk4e12e8kv9amk558n,1,0,0,0,0
229ea81027hf6454si90erdedm,0,0,0,0,1
22nc1tt35cv954ms0oqvbcedpi,0,0,0,0,1
24p9g4vknl8658896iaim0s991,0,0,0,1,0
26t8bqt44eou982kgvp9ve4p2i,0,0,0,0,1
26v7bi8e0oc7p58e3s9v8eic9f,0,0,1,0,0
26vbvibjbmj8melqbk3v0f98lg,0,0,0,1,0
27479tfiqfgi99u7r4vq0q33db,0,0,1,0,0
280itudqubof37k9lj729sf36k,0,0,0,1,0
29qvj8g1h6snmr2e3gjll5t3m1,1,0,0,0,0
2ciamdo9317m8q3tm7b11t4p6e,1,0,0,0,0
2cod58pj6b57pun9fl0vhiqoia,1,0,0,0,0
2dog8ussjb1su485cbk44ch0b3,0,1,0,0,0
2h5rept2cah2lqu3q4o99smupd,0,1,0,0,0
2h80p3ff9jpfboaddjevmi55rs,1,0,0,0,0
2ing4ldnnd40og2ej20qnsesbb,0,0,0,0,1
2j54lp7l4tosj8qtp2jaq0654a,0,1,0,0,0
2k97re4f45gl0ktl40bav6lfqf,1,0,0,0,0
2kgh70cmf4mhhebk1nlm7iar4e,0,0,0,1,0
2l614ncb4kp7p6q9b0a5ln3ao6,1,0,0,0,0
2lh3e8j6so3e98fpi0v05du393,0,0,0,0,1
2nbg4n3n6r9rjm8i3ssgkun3ut,0,0,0,1,0
2ofo1qtu8s78p042if3guleash,0,0,1,0,0
2ojc0m4iu85a1fggs34ppevk2k,0,0,1,0,0
2plqdrutng0gghb9ntoqp215d6,1,0,0,0,0
2s8fa1s8oe1rqsf0ddm7m9q7da,1,0,0,0,0
2ug2ev7dhmgn6780sn51jc7s6i,0,0,0,1,0
2vhdk7kkt7dtos2hn1fnlkf9ee,0,0,1,0,0
30jcp3kes0o21ej00145hji0gi,0,0,1,0,0
31vd4424iaoqg0c0gufqriq1ts,0,0,0,0,1
33gvkkt0bdfkjce2hd6rg5optm,1,0,0,0,0
35siqb4j2kkkqj9sl59b1mb3mc,0,0,0,1,0
36m3d3mt4dfs9shoptldptokbe,1,0,0,0,0
36rja5utab0pakj5136bi7rkop,0,0,1,0,0
37c1p9a3j6s14c1t90gdbgjle5,0,0,1,0,0
37f112qml42d33pentjpilckno,0,0,1,0,0
38n32l6uepd8e4gvce8gaaeiuq,0,1,0,0,0
3anop7496piqmb18uqiso0aems,0,0,0,1,0
3auhkidhn5nqe9bloh2vvl5gbl,0,0,1,0,0
3bo9d8dursvo4oi50seqn5b03o,0,0,1,0,0
3ctnavj7r6jrdpq5q0n8s7s4l1,1,0,0,0,0
3d46kbg48go8hu4srfkogn5p27,0,0,0,1,0
3dlhqa29pdkpur5c0fh3a1gcga,1,0,0,0,0
3e1l4pk01sc0ailn31s1mk5482,0,0,1,0,0
3efd8lf96ehp33fgbmbr4340tb,0,0,1,0,0
3ej2paptt43pk3mtd57opv4qu8,1,0,0,0,0
3idgnbekhsu1kggq8tgpf78qpk,0,0,0,1,0
3io4o9tlg7fa20l20kbidpqh7f,0,1,0,0,0
3k02va28s8i6u55poq55d3pn7c,0,1,0,0,0
3n2l49snas8412o73vesnrhamu,1,0,0,0,0
3n5tfsl313lu7d2r708qdqtqe0,1,1,0,0,0
3nc17617gvarormtprojm161k4,1,0,0,0,0
3p31i0ob3gn1isfdhbjeuc5j0p,1,0,1,0,0
3p6scp5rnqun6k08tnudv5gacg,1,0,0,0,0
3p8qp6np717jbhmhu8329s9nb6,0,0,1,0,0
3ptlnebdqmrm4bb4ejcfb0taom,0,0,1,0,0
3qfgfasvf42im2b2pba7hlhvdq,1,0,0,0,0
3r9cb69qg00fac5os9au9a745h,0,0,1,0,0
3rfboibsp6vin0c5iqp8r33f5n,1,0,0,0,0
3s2on00ho4bp1291c5q0avn7ov,1,0,0,0,0
3uqepgd76f9ecnauehcl4sucbh,1,0,0,0,0
3v4lcjqcmnpq4p0r6ljintqqkh,0,0,0,0,1
44jg252hdbvtafg865qn3qvi8o,0,1,0,0,0
44t7uhcc4rpgu230t5or49f7jj,0,0,1,0,0
453lvg24j5relktbluq4s08um3,1,0,0,0,0
46hm95bnvnuglhj1i1906nc80u,0,0,1,0,0
48sh2dvjsabsgd2ck8tlt04cd2,0,1,0,0,0
49rbuft0lmtfjd3qn70np3lk51,0,0,1,0,0
49smdeovekeq8fgrnfejp533r3,0,0,1,0,0
4aoe3lhvk4np2qojt6jlgbrntk,0,0,0,0,1
4bnqt73v1q2ofhu8uj797irb7a,0,1,0,0,0
4brmbia6h899nmpvf2l1qgt2jm,1,0,0,0,0
4cn3hvubj72vjjnbi1pgvu6sqc,1,0,0,0,0
