session_id,clicks_count,durations,click_frequency
03jt2p4bdru20sjb9me2gco6j4,10,1606000878926,6.226646654569341e-12
071tbv7fsev5d64kb0f9jieor6,19,677103,2.8060723405449393e-05
094i85crhkpkhqpi3rl4athrn4,17,1606000279969,1.0585303260549957e-11
0ht0u328t4mkgi01sp7mm07e01,10,141246,7.079846508927686e-05
0i5kvpslrq3vb6u8ff2kuejv0v,16,460995,3.470753478888058e-05
0ikgnsdpp5jt1qd7fro2va4oka,8,1606001045138,4.981316808117381e-12
0jfeqj4kpolvb97o2s5ks7l0j4,19,1606000585870,1.1830630802483395e-11
0oa2dua3mli7mrr32c0gd4o0i2,7,160409,4.3638449214196214e-05
0ogg5l1i4nh37ek8mjpn8q9fc0,8,24628,0.00032483352281955497
0oi4fvkqd1acu5g08vep8eefqg,12,1606000111290,7.471979556938603e-12
0p0kaqfmftrtfg0u12rkshrdi9,10,210507,4.750435852489466e-05
0pcr6mashfodserb90cq3p04uf,14,278649,5.0242419674931543e-05
0sejj3er3n0v1sfjv2jbnhaav4,10,88499,0.00011299562706923242
0ucre4qu5jiho5kbjq61hr495f,20,1606000335246,1.2453297524957545e-11
0uhr32hgcllradm0p6b15371gi,40,1595001051127,2.507835337897533e-11
0vkricl80bt5v7n2s6bbhvlvk3,11,1606000134172,6.849314496272587e-12
124nsuu4makfggp1h3ametehri,9,1606000083843,5.6039847634776496e-12
16r8lv9fabgjk06di8usnmu9ni,18,427428,4.21123557651815e-05
1afcff96kgdbmevi5aemi5mkuj,15,422112,3.553559244939732e-05
1aqgqrcuurlmvvbbpirvsh7e53,12,310202,3.868447011947054e-05
1c1h9oumn2pa0pb04v8f6fn515,11,1606000108455,6.849314605951173e-12
1g4h4vh4d2uv360aoo55b086hd,20,1606000383443,1.2453297151226886e-11
1gpqg899dn1eafk0j474koislc,15,1606000273649,9.339973501946195e-12
1hv0rajig2vijia10tvjvhq12e,17,1606009611367,1.0585241756760082e-11
1j8bfg4kkf15a9oj1igr147ol2,34,1606002303744,2.1170579843339794e-11
1jtqu9bvu7bii5p6kcsbgqbqa3,16,1606000450111,9.962637307414295e-12
1m7s5287lpll34gm0amdciqvb5,11,1606000031108,6.849314935822859e-12
1mvlnshabcf3gbr9subps50a00,24,1606001045020,1.4943950425450142e-11
1nbs17btpqhl48dfu2nklqhffq,9,1606000252819,5.603984173852008e-12
1nufffs0sri7c3ere47b9i5srv,10,1606000031176,6.226649941393501e-12
1onh1ot5pr6j6g739m8cp5dfj0,13,1606000125721,8.09464444728095e-12
1r170g6lqfoff21od5nn9f976a,11,445151,2.4710716139017996e-05
1sijirkrahu3j2dp0qmb78691l,20,1606000435893,1.2453296744517511e-11
1ttvuqau08dh4t1cjg50pr2298,19,586952,3.237061974403358e-05
1u41k0lehrsbt97q0pe4knpa6c,14,42733,0.00032761566002854935
20054o9vd2q32sqnc3g6kj17om,13,419206,3.101100652185322e-05
26v7bi8e0oc7p58e3s9v8eic9f,16,494731,3.234080742868347e-05
27479tfiqfgi99u7r4vq0q33db,20,1606000189119,1.2453298658060157e-11
2cod58pj6b57pun9fl0vhiqoia,15,1606000261975,9.33997356983837e-12
2h80p3ff9jpfboaddjevmi55rs,18,1606000249070,1.120796837386757e-11
