Session_ID,session_duration,request_count,time_afternoon,time_evening,time_morning,time_night,time_wee_hours
01o7p78e2bnu1814jn5k4uqke4,31.0,64,64,0,0,0,0
03jt2p4bdru20sjb9me2gco6j4,882.0,897,0,0,897,0,0
0654rvnjhnr0pvsi3qa3e16avo,112.0,82,82,0,0,0,0
06ivkemfgn93qhl5j0vu96rnl4,7.0,13,0,0,13,0,0
071tbv7fsev5d64kb0f9jieor6,680.0,401,0,401,0,0,0
094i85crhkpkhqpi3rl4athrn4,282.0,316,0,0,0,316,0
0d5d2435pbn4mi4gj9spju5gia,4.0,12,0,0,12,0,0
0d9geeoeb756546qnikv1ro4m5,33.0,39,0,0,39,0,0
0erfuds6s7kpisp8j1pphnombt,314.0,195,0,0,195,0,0
0gcm09cd38usjvnjipmqleh0dj,62.0,46,46,0,0,0,0
0ht0u328t4mkgi01sp7mm07e01,142.0,109,109,0,0,0,0
0i5kvpslrq3vb6u8ff2kuejv0v,465.0,283,0,283,0,0,0
0ikgnsdpp5jt1qd7fro2va4oka,1059.0,1075,0,0,1075,0,0
0jfeqj4kpolvb97o2s5ks7l0j4,588.0,624,624,0,0,0,0
0o21mf1bnalsnajqi851nce7po,7.0,19,0,0,0,19,0
0oa2dua3mli7mrr32c0gd4o0i2,162.0,119,119,0,0,0,0
0ogg5l1i4nh37ek8mjpn8q9fc0,25.0,49,49,0,0,0,0
0oi4fvkqd1acu5g08vep8eefqg,116.0,141,0,0,141,0,0
0p0kaqfmftrtfg0u12rkshrdi9,211.0,157,0,0,0,157,0
0pcr6mashfodserb90cq3p04uf,280.0,194,194,0,0,0,0
0pe4qdimjjcomlurpgml7o098t,10.0,16,0,0,0,0,16
0qtjb0182k597rhbb8lkk1t2h0,270.0,165,165,0,0,0,0
0sejj3er3n0v1sfjv2jbnhaav4,89.0,97,97,0,0,0,0
0ucre4qu5jiho5kbjq61hr495f,338.0,373,0,373,0,0,0
0uhr32hgcllradm0p6b15371gi,1061.0,2447,0,0,2447,0,0
0vkricl80bt5v7n2s6bbhvlvk3,137.0,158,0,158,0,0,0
108idm26bcno4qf8gqdml2sge3,44.0,52,0,0,52,0,0
124nsuu4makfggp1h3ametehri,96.0,114,0,0,114,0,0
16egv6d1m87udqmd5na62btekf,2.0,10,0,0,0,10,0
16r8lv9fabgjk06di8usnmu9ni,431.0,273,273,0,0,0,0
18ldmki7l8n9ts6jn32uh9ulli,25.0,33,33,0,0,0,0
1afcff96kgdbmevi5aemi5mkuj,425.0,261,0,261,0,0,0
1aqgqrcuurlmvvbbpirvsh7e53,311.0,206,0,0,206,0,0
1b5jo142dddav6pjjok6jecpj4,6.0,10,10,0,0,0,0
1c1h9oumn2pa0pb04v8f6fn515,111.0,136,136,0,0,0,0
1c414c34a3mtpaafer5lt5vvj2,112.0,88,0,88,0,0,0
1fsvu7m4pbt9htk9432cnv28mr,123.0,92,92,0,0,0,0
1g3j2jmtjse3k9p4r62706vsm0,378.0,241,0,0,0,0,241
1g4h4vh4d2uv360aoo55b086hd,387.0,426,0,426,0,0,0
1gg7urt9m7ngrt4rqu1q43t5fc,298.0,176,176,0,0,0,0
1gkkisdcfhov1vv3n5ae0eotg9,32.0,50,0,0,0,50,0
1gpqg899dn1eafk0j474koislc,276.0,304,304,0,0,0,0
1hv0rajig2vijia10tvjvhq12e,9623.0,795,209,0,586,0,0
1io851t86ui0flvporc43coa44,88.0,97,0,0,97,0,0
1j8bfg4kkf15a9oj1igr147ol2,2316.0,1816,0,0,1816,0,0
1jtqu9bvu7bii5p6kcsbgqbqa3,452.0,482,0,482,0,0,0
1m7s5287lpll34gm0amdciqvb5,38.0,62,0,0,62,0,0
1mvlnshabcf3gbr9subps50a00,1104.0,1135,0,1135,0,0,0
1nbs17btpqhl48dfu2nklqhffq,255.0,276,276,0,0,0,0
1np35kml8m5i7a1at5jeo1kbj5,350.0,224,0,0,0,224,0
1nufffs0sri7c3ere47b9i5srv,35.0,57,0,0,57,0,0
1o1q64siv4eesglagbq44pjjle,5.0,16,16,0,0,0,0
1o8bhjhm5k72l4gp4t22njhofd,31.0,65,65,0,0,0,0
1onh1ot5pr6j6g739m8cp5dfj0,132.0,159,0,0,159,0,0
1r170g6lqfoff21od5nn9f976a,448.0,273,0,0,0,273,0
1sijirkrahu3j2dp0qmb78691l,438.0,476,0,476,0,0,0
1ttvuqau08dh4t1cjg50pr2298,592.0,348,348,0,0,0,0
1u41k0lehrsbt97q0pe4knpa6c,43.0,85,85,0,0,0,0
1u58qbe9ofc98u2ghpmrssvf7p,12.0,19,0,19,0,0,0
1um3qqrnsvve0s19nean547qq4,294.0,188,0,0,0,0,188
20054o9vd2q32sqnc3g6kj17om,425.0,268,268,0,0,0,0
20jivuatdk4e12e8kv9amk558n,13.0,13,13,0,0,0,0
229ea81027hf6454si90erdedm,9.0,65,0,0,0,0,65
22nc1tt35cv954ms0oqvbcedpi,369.0,230,0,0,0,0,230
24p9g4vknl8658896iaim0s991,338.0,228,0,0,0,228,0
26t8bqt44eou982kgvp9ve4p2i,318.0,199,0,0,0,0,199
26v7bi8e0oc7p58e3s9v8eic9f,495.0,317,0,0,317,0,0
26vbvibjbmj8melqbk3v0f98lg,322.0,225,0,0,0,225,0
27479tfiqfgi99u7r4vq0q33db,195.0,232,0,0,232,0,0
280itudqubof37k9lj729sf36k,404.0,273,0,0,0,273,0
29qvj8g1h6snmr2e3gjll5t3m1,202.0,164,164,0,0,0,0
2ciamdo9317m8q3tm7b11t4p6e,29.0,40,40,0,0,0,0
