session_id,entropy,clicks_count,durations,click_frequency,speed_cv,hover_frequency,avg_hover_duration,acceleration_mean,acceleration_std,acceleration_skewness,acceleration_pos_neg_ratio,direction_change_frequency,idle_active_ratio,label,session_duration,request_count,time_afternoon,time_evening,time_morning,time_night,time_wee_hours
03jt2p4bdru20sjb9me2gco6j4,3.12192809488736,10,1606000878926,6.226646654569341e-12,1.2927500623393668,3.265044814340589,10044.058823529413,-97.98765420632684,4076.55470589021,0.1373018091931884,0.8357400722021661,0.5506180303416985,42482299.25727436,human,882.0,897,0,0,897,0,0
071tbv7fsev5d64kb0f9jieor6,3.2210972500579533,19,677103,2.8060723405449397e-05,0.509696288249352,0.965173329043674,1951.275,-3.0795206728862947,1211.3550717961164,-0.234732782722141,1.0135431189006174,0.2350686144095899,2.274825885084156,advanced_bot,680.0,401,0,401,0,0,0
094i85crhkpkhqpi3rl4athrn4,2.8954238702803123,17,1606000279969,1.0585303260549956e-11,0.5178256294280393,0.2184323279845417,966.9230769230768,-94.00964334309586,2813.920800475082,-0.0178413694754692,0.9361064268315532,0.2467335909920884,7828571.236207384,advanced_bot,282.0,316,0,0,0,316,0
0ht0u328t4mkgi01sp7mm07e01,2.4464393446710138,10,141246,7.079846508927686e-05,0.2326041617582016,3.9278656126482216,866.3270440251572,-2.9785876012742505,616.098440244549,0.0299834099406466,0.9840236686390532,33.13693222744495,1.028201777688431,moderate_bot,142.0,109,109,0,0,0,0
0i5kvpslrq3vb6u8ff2kuejv0v,3.452819531114779,16,460995,3.470753478888058e-05,0.5081648144212464,0.895244738983839,2000.8831168831168,-0.2050022693163044,1173.9429292251452,-0.0549822718401944,1.0244969378827646,0.2450917704008197,2.184612833921676,advanced_bot,465.0,283,0,283,0,0,0
0ikgnsdpp5jt1qd7fro2va4oka,2.749999999999998,8,1606001045138,4.981316808117381e-12,1.4774310294897426,3.268945022288261,28270.204545454544,-197.66011601787727,3301.228474902799,0.0443717681033568,0.8240418118466899,1.2391507002602502,52343426.58418617,human,1059.0,1075,0,0,1075,0,0
0jfeqj4kpolvb97o2s5ks7l0j4,3.7216117239698967,19,1606000585870,1.1830630802483397e-11,0.5010532033097551,0.1798561151079136,978.25,-100.83905445548643,2749.2120712554583,0.0576347466084741,0.9157168988321374,0.217192671646538,6093490.371490363,advanced_bot,588.0,624,624,0,0,0,0
0oa2dua3mli7mrr32c0gd4o0i2,2.5216406363433164,7,160409,4.363844921419621e-05,1.156607377732258,0.3169572107765452,667.0909090909091,-199.46447855447576,4794.626114179256,0.0366341925129517,0.9469424460431656,0.0187533352896688,0.0954878540159943,human,162.0,119,119,0,0,0,0
0ogg5l1i4nh37ek8mjpn8q9fc0,1.4999999999999991,8,24628,0.0003248335228195,0.1843595118685173,3.675450762829404,436.7358490566038,-5.018274644381455,487.8573308765616,1.0476891162367332,0.977055449330784,14.744475449539603,0.0,moderate_bot,25.0,49,49,0,0,0,0
0oi4fvkqd1acu5g08vep8eefqg,2.584962500721154,12,1606000111290,7.471979556938603e-12,0.2725462041629222,3.992543110144477,409.6147859922179,-19.5311435905224,567.1301067162806,0.5810367796354752,0.9218150087260036,11.772618785192025,14563987.240804557,moderate_bot,116.0,141,0,0,141,0,0
